year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,NK,Spirit Air Lines,ABQ,"Albuquerque, NM: Albuquerque International Sunport",31.0,11.0,2.26,0.34,5.57,0.0,2.82,0.0,0.0,443.0,75.0,51.0,233.0,0.0,84.0
2023,8,NK,Spirit Air Lines,ACY,"Atlantic City, NJ: Atlantic City International",248.0,66.0,20.0,5.86,21.15,1.15,17.84,4.0,0.0,5161.0,974.0,247.0,1925.0,65.0,1950.0
2023,8,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1056.0,352.0,87.95,14.13,178.23,6.51,65.19,11.0,10.0,27484.0,7087.0,1220.0,12113.0,277.0,6787.0
2023,8,NK,Spirit Air Lines,AUS,"Austin, TX: Austin - Bergstrom International",204.0,65.0,28.48,1.73,21.54,0.32,12.93,0.0,0.0,5383.0,2573.0,88.0,1580.0,53.0,1089.0
2023,8,NK,Spirit Air Lines,BDL,"Hartford, CT: Bradley International",76.0,22.0,3.74,2.17,8.22,0.45,7.42,1.0,0.0,1270.0,149.0,143.0,525.0,36.0,417.0
2023,8,NK,Spirit Air Lines,BNA,"Nashville, TN: Nashville International",224.0,65.0,22.98,1.17,28.7,1.2,10.95,2.0,0.0,4233.0,1244.0,98.0,1531.0,70.0,1290.0
2023,8,NK,Spirit Air Lines,BOI,"Boise, ID: Boise Air Terminal",31.0,5.0,0.17,1.0,3.83,0.0,0.0,1.0,1.0,181.0,5.0,17.0,159.0,0.0,0.0
2023,8,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",464.0,207.0,42.76,11.13,114.97,6.9,31.25,4.0,0.0,14999.0,3821.0,892.0,7691.0,264.0,2331.0
2023,8,NK,Spirit Air Lines,BQN,"Aguadilla, PR: Rafael Hernandez",62.0,38.0,15.46,4.55,9.3,1.0,7.7,1.0,0.0,2072.0,726.0,207.0,453.0,16.0,670.0
2023,8,NK,Spirit Air Lines,BUR,"Burbank, CA: Bob Hope",61.0,8.0,3.38,0.0,3.36,0.0,1.27,2.0,0.0,546.0,176.0,0.0,264.0,0.0,106.0
